gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.04,0.09,1,0.47894737124443054,0.8917163178164416,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.09999999999999999,1,0.47894737124443054,0.8819183588453088,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.11,1,0.47894737124443054,0.8721203998741762,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.12,1,0.47894737124443054,0.8623224409030434,0.7872991230829758,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.7872991230829758,-0.5,-10100.0
0.04,0.13,1,0.47894737124443054,0.8525244819319107,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.14,1,0.47894737124443054,0.8427265229607779,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.15000000000000002,1,0.47894737124443054,0.8329285639896453,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.16,1,0.47894737124443054,0.8231306050185125,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.17,1,0.47894737124443054,0.81333264604738,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.18000000000000002,1,0.47894737124443054,0.8035346870762471,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.19,1,0.47894737124443054,0.7937367281051144,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.04,0.2,1,0.47894737124443054,0.7839387691339816,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.01,2,0.4368421137332916,0.9650929228956395,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.02,1,0.3947368562221527,0.9553461285508307,0.0,0.0,0.0,1,0.6052631735801697,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.03,3,0.47894737124443054,0.9455993342060216,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.04,1,0.5631579160690308,0.9358525398612128,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.05,1,0.5210526585578918,0.9261057455164036,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.060000000000000005,1,0.47894737124443054,0.9163589511715947,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.06999999999999999,1,0.47894737124443054,0.906612156826786,0.8679633613985978,0.5,100.0,1,0.5631579160690308,0.0,0.0,-10000.0,-0.8679633613985978,-0.5,-10100.0
0.05,0.08,1,0.47894737124443054,0.8968653624819769,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.09,1,0.47894737124443054,0.8871185681371678,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.09999999999999999,1,0.47894737124443054,0.8773717737923589,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.11,1,0.47894737124443054,0.8676249794475499,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.05,0.12,1,0.47894737124443054,0.857878185102741,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
